id	composite_no
P224127	Q005671
P224184	Q005670
P227171	Q004428
P283666	Q002200
P429779	Q000398
P429780	Q000908
P429785	Q000416
P429946	Q001714
P429947	Q004981
P429949	Q004431
P429950	Q001829
P429952	Q001707
P429954	Q004356
P429957	Q004359
P430113	Q004361
P430114	Q004360
P430122	Q004363
P430131	Q004122
P430133	Q004281
P430134	Q001841
P430135	Q004949
P430143	Q001833
P430144	Q001832
P430145	Q004118
P430146	Q004368
P430147	Q004369
P430148	Q004371
P430154	Q004124
P430159	Q004284
P430161	Q001703
P430167	Q004375
P430170	Q004127
P430172	Q004377
P430182	Q001006
P430186	Q004381
P430188	Q004918
P430197	Q004383
P430198	Q004294
P430203	Q004129
P430204	Q001805
P430213	Q004295
P430220	Q004296
P430229	Q001710
P430251	Q004394
P430253	Q004397
P430255	Q004298
P430262	Q004413
P430266	Q008436
P430269	Q004308
P430276	Q004412
P430277	Q004965
P430283	Q004300
P430289	Q004302
P430295	Q004425
P430300	Q001734
P430310	Q004419
P430313	Q004135
P430323	Q004312
P430326	Q004313
P430330	Q004418
P430333	Q004400
P430343	Q004136
P430350	Q004971
P430353	Q004404
P430354	Q004137
P430369	Q004409
P430373	Q004411
P430378	Q004986
P430382	Q001701
P430383	Q001728
P430385	Q004426
P430390	Q004140
P430392	Q004318
P430398	Q004321
P430400	Q004315
P430401	Q004352
P430412	Q004942
P430413	Q004995
P430418	Q004435
P430419	Q004436
P430423	Q004900
P430424	Q004901
P430426	Q004996
P430428	Q004325
P430437	Q004997
P430439	Q001726
P430440	Q001915
P430442	Q004437
P430449	Q004327
P430453	Q005003
P430454	Q004927
P430459	Q004331
P430462	Q004905
P430465	Q004147
P430466	Q004907
P430472	Q001699
P430477	Q005007
P430478	Q004445
P430479	Q004444
P430480	Q004149
P430482	Q004447
P430485	Q001725
P430486	Q004440
P430487	Q005008
P430489	Q004441
P430490	Q004904
P430492	Q004910
P430494	Q004334
P430500	Q004349
P430514	Q004156
P430519	Q004151
P430521	Q004913
P430525	Q004152
P430537	Q004930
P430541	Q004923
P430554	Q004916
P430562	Q004937
P430563	Q005020
P430567	Q001702
P430569	Q004933
P430571	Q004344
P430576	Q004919
P430577	Q004346
P430587	Q004155
P430612	Q004160
P430613	Q004922
P430614	Q004928
P430617	Q004348
P430621	Q004935
P430625	Q004936
P430628	Q004350
P430632	Q004358
P430635	Q001858
P430637	Q004373
P430639	Q004386
P430645	Q004415
P430646	Q004929
P430649	Q004134
P430652	Q004422
P430653	Q000880
P430654	Q004428bis ?
P430655	Q004991
